ï»¿"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"14-JUL-2026","DYCL","Dynamic Cables Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","2,81,111","394.82","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","2,81,111","394.56","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","4,46,084","395.18","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","4,49,975","395.44","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","3,22,956","397.20","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","3,22,956","397.60","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","2,89,583","396.94","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","2,89,583","396.79","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","QE SECURITIES LLP","BUY","2,45,580","392.81","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","QE SECURITIES LLP","SELL","2,46,154","395.55","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","2,52,101","396.29","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","2,52,101","396.04","-"
"14-JUL-2026","EXIMROUTES","Exim Routes Limited","ALLINA  QURESHI","SELL","1,98,400","110.00","-"
"14-JUL-2026","EXIMROUTES","Exim Routes Limited","BIMA PAY TECHNOLOGY PRIVATE LIMITED","BUY","1,98,400","110.00","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","5,66,619","177.80","-"
